165	Alice in Wonderland (2010)	BV	$385,654,200	$334,191,110	2010
166	The Incredibles	BV	$384,994,400	$261,441,092	2004
167	Cast Away	Fox	$383,750,800	$233,632,142	2000
168	Home Alone 2: Lost in New York	Fox	$383,342,300	$173,585,516	1992
169	The Jungle Book (2016)	BV	$382,070,300	$364,001,123	2016
170	Three Men and a Baby	BV	$382,006,600	$167,780,960	1987
171	My Big Fat Greek Wedding	IFC	$379,402,400	$241,438,208	2002
172	Guardians of the Galaxy	BV	$377,186,500	$333,176,600	2014
173	Furious 7	Uni.	$375,778,000	$353,007,020	2015
174	Mission: Impossible	Par.	$375,066,500	$180,981,856	1996
175	The Hunger Games: Mockingjay - Part 1	LGF	$373,058,400	$337,135,885	2014
176	Minions	Uni.	$372,942,500	$336,045,770	2015
177	Saturday Night Fever	Par.	$371,939,400	$94,213,184	1977
178	On Golden Pond	Uni.	$371,752,500	$119,285,432	1981
179	Austin Powers: The Spy Who Shagged Me	NL	$371,521,100	$206,040,086	1999
180	Harry Potter and the Half-Blood Prince	WB	$370,715,500	$301,959,197	2009
181	Bruce Almighty	Uni.	$368,875,000	$242,829,261	2003
182	Harry Potter and the Prisoner of Azkaban	WB	$368,083,100	$249,541,069	2004
183	Funny Girl	Col.	$366,761,400	$52,223,306	1968^
184	Mission: Impossible II	Par.	$366,076,900	$215,409,889	2000
185	Rush Hour 2	NL	$366,018,500	$226,164,286	2001
186	Apollo 13	Uni.	$365,096,800	$173,837,933	1995^
187	Patton	Fox	$364,921,200	$61,749,765	1970
188	Fatal Attraction	Par.	$363,475,700	$156,645,693	1987
189	Iron Man 2	Par.	$363,361,500	$312,433,331	2010
190	Zootopia	BV	$362,791,800	$341,268,248	2016
191	Liar Liar	Uni.	$362,030,800	$181,410,615	1997
192	Robin Hood: Prince of Thieves	WB	$360,077,000	$165,493,908	1991
193	Beverly Hills Cop II	Par.	$359,992,800	$153,665,036	1987
194	Up	BV	$359,747,800	$293,004,164	2009
195	Batman Returns	WB	$359,406,800	$162,831,698	1992
196	Signs	BV	$359,380,200	$227,966,634	2002
197	The Twilight Saga: Eclipse	Sum.	$357,043,600	$300,531,751	2010
198	Superman II	WB	$356,468,000	$108,185,706	1981
199	The Twilight Saga: New Moon	Sum.	$356,416,500	$296,623,634	2009
200	What's Up, Doc?	WB	$355,623,500	$66,000,000	1972
201	9 to 5	Fox	$351,725,300	$103,290,500	1980
202	Batman v Superman: Dawn of Justice	WB	$350,467,400	$330,360,194	2016
203	The Firm	Par.	$350,355,300	$158,348,367	1993
204	Suicide Squad	WB	$349,720,300	$325,100,054	2016
205	Who Framed Roger Rabbit	BV	$348,687,000	$156,452,370	1988
206	Inception	WB	$347,374,900	$292,576,195	2010
207	Skyfall	Sony	$346,632,700	$304,360,277	2012
208	The Hobbit: An Unexpected Journey	WB (NL)	$346,556,800	$303,003,568	2012
209	Porky's	Fox	$345,535,100	$111,289,673	1982^
210	Air Force One	Sony	$345,081,700	$172,956,409	1997
211	Stir Crazy	Col.	$344,947,200	$101,300,000	1980
212	A Star Is Born (1976)	WB	$344,037,600	$80,000,000	1976
213	There's Something About Mary	Fox	$343,304,200	$176,484,651	1998
214	Spider-Man: Homecoming	Sony	$342,750,600	$334,201,140	2017
215	Cars	BV	$341,343,500	$244,082,982	2006
216	The Hangover	WB	$340,439,600	$277,322,503	2009
217	Lethal Weapon 2	WB	$339,759,800	$147,253,986	1989
218	Night at the Museum	Fox	$339,301,100	$250,863,268	2006
219	Harry Potter and the Deathly Hallows Part 1	WB	$338,821,000	$295,983,305	2010
220	I Am Legend	WB	$336,391,700	$256,393,010	2007
221	Austin Powers in Goldmember	NL	$336,299,500	$213,307,889	2002
222	War of the Worlds	Par.	$334,790,700	$234,280,354	2005
223	It	WB (NL)	$334,418,800	$327,481,748	2017
224	Every Which Way But Loose	WB	$333,504,200	$85,196,485	1978
225	The Twilight Saga: Breaking Dawn Part 2	LG/S	$332,769,100	$292,324,737	2012
226	The Love Bug	Dis.	$330,688,900	$51,264,000	1969
227	The Twilight Saga: Breaking Dawn Part 1	Sum.	$328,962,500	$281,287,133	2011
228	You Only Live Twice	UA	$328,880,500	$43,084,787	1967
229	X-Men: The Last Stand	Fox	$327,749,700	$234,362,462	2006
230	The Mummy Returns	Uni.	$326,943,700	$202,019,785	2001
231	X2: X-Men United	Fox	$326,523,900	$214,949,694	2003
232	Platoon	Orion	$324,593,800	$138,530,565	1986
233	Rocky IV	UA	$324,147,700	$127,873,716	1985
234	Man of Steel	WB	$322,894,300	$291,045,518	2013
235	Pearl Harbor	BV	$321,316,200	$198,542,554	2001
236	True Lies	Fox	$320,561,500	$146,282,411	1994
237	Heaven Can Wait (1978)	Par.	$319,583,300	$81,640,278	1978
238	Lethal Weapon 3	WB	$319,455,600	$144,731,527	1992
239	Look Who's Talking	TriS	$319,157,700	$140,088,813	1989
240	Gladiator	DW	$318,896,600	$187,705,427	2000
241	Jaws 2	Uni.	$318,023,500	$81,766,007	1978^
242	Star Trek	Par.	$316,459,800	$257,730,019	2009
243	The Santa Clause	BV	$316,086,300	$144,833,357	1994
244	The Amityville Horror	AIP	$315,425,100	$86,432,000	1979
245	Thor: Ragnarok	BV	$314,382,100	$315,058,289	2017
246	The Waterboy	BV	$313,369,400	$161,491,646	1998
247	A Bug's Life	BV	$312,681,200	$162,798,565	1998
248	A Few Good Men	Col.	$312,387,100	$141,340,178	1992
249	The Odd Couple	Par.	$311,350,700	$44,527,234	1968
250	Rocky II	UA	$310,864,000	$85,182,160	1979
251	Jerry Maguire	Sony	$310,790,200	$153,952,592	1996
